return_code,avg_bits_per_value,avg_exceptions_per_vector,kernel,compressor,file,n_bytes,duration_ms,compression_ratio,data_type,n_vecs,sample_run
0,"","",decompression,zstd,phone_gyro_f64,209715200,75.731293,2.323507,f64,25600,5
0,"","",decompression_query,Bitcomp,basel_wind_f,209715200,4.429184,0.998294,f64,25600,8
0,11.583555,10.088711,decompression,ALP,Physicians-8-line_srvc_cnt,104857600,1.844640,2.642193,f32,25600,9
0,"","",decompression_query,LZ4,basel_temp_f,209715200,40.382496,2.029821,f64,25600,9
0,"","",decompression_query,zstd,Telco-110-rechrg_total_load_p1,104857600,48.222176,2.206933,f32,25600,2
0,"","",decompression_query,Deflate,Telco-153-total_mins_p3,104857600,113.880898,1.481911,f32,25600,10
0,"","",decompression_query,Deflate,bitcoin_f,209715200,225.942307,1.100835,f64,25600,8
0,9.646797,12.944609,decompression_query,ALP,Telco-112-rechrg_total_load_p3,104857600,1.398240,3.104306,f32,25600,3
0,"","",decompression_query,BitcompSparse,CityMaxCapita-13-lpf,104857600,3.834112,1.141462,f32,25600,3
0,"","",decompression,GDeflate,Telco-159-total_outgoing_min_p4,104857600,17.084543,1.487162,f32,25600,9
0,20.116953,6.768633,decompression_query,GALP,bird_migration_f,209715200,1.320800,3.050279,f64,25600,5
0,10.570820,2.272852,decompression,GALP,stocks_de,209715200,1.863744,5.773920,f64,25600,7
0,"","",decompression_query,zstd,basel_temp_f,209715200,86.756638,2.611324,f64,25600,6
0,40.405234,7.715742,decompression_query,ALP,cms25,209715200,1.944320,1.557406,f64,25600,5
0,"","",decompression,Bitcomp,cms9,209715200,8.453664,1.169553,f64,25600,9
0,"","",decompression_query,Thrust,gov26,209715200,5.162528,1.000000,f64,25600,8
0,"","",decompression,BitcompSparse,bird_migration_f,209715200,3.078656,0.998294,f64,25600,7
0,"","",decompression,Bitcomp,Telco-159-total_outgoing_min_p4,104857600,2.316128,1.256350,f32,25600,10
0,"","",decompression_query,LZ4,gov10,209715200,45.195202,1.682712,f64,25600,10
0,"","",decompression_query,Thrust,Telco-158-total_outgoing_min_p3,104857600,4.717472,1.000000,f32,25600,4
0,"","",decompression_query,GDeflate,Telco-22-chrgd_rev_p1,104857600,17.639456,1.365514,f32,25600,5
0,"","",decompression_query,Bitcomp,PanCreactomy1-8-line_srvc_cnt,104857600,4.870336,1.008123,f32,25600,8
0,"","",decompression,Snappy,Telco-111-rechrg_total_load_p2,104857600,39.770687,1.624439,f32,25600,9
0,"","",decompression,Snappy,Telco-153-total_mins_p3,104857600,20.616735,1.323073,f32,25600,6
0,11.253086,9.415430,decompression_query,ALP,medicare9,209715200,1.784512,5.300381,f64,25600,8
0,"","",decompression_query,zstd,Telco-112-rechrg_total_load_p3,104857600,45.386559,3.161956,f32,25600,9
0,"","",decompression,Bitcomp,Telco-95-onnet_mins_p3,104857600,2.257024,1.191487,f32,25600,3
0,"","",decompression_query,Snappy,Telco-96-onnet_mins_p4,104857600,26.267456,1.483406,f32,25600,1
0,"","",decompression,BitcompSparse,arade4,209715200,3.050816,0.998294,f64,25600,1
0,20.116953,6.768633,decompression,ALP,bird_migration_f,209715200,2.474624,3.087061,f64,25600,5
0,16.522695,187.085195,decompression,GALP,Telco-151-total_mins_p1,104857600,1.713600,1.238055,f32,25600,6
0,15.952148,8.660625,decompression_query,ALP,neon_air_pressure,209715200,1.842944,3.828966,f64,25600,5
0,9.905156,28.033633,decompression_query,GALP,cms9,209715200,1.317056,5.148328,f64,25600,5
0,11.778906,6.145352,decompression,GALP,Telco-111-rechrg_total_load_p2,104857600,1.063488,2.535325,f32,25600,10
0,"","",decompression_query,Bitcomp,stocks_de,209715200,5.901952,1.030772,f64,25600,9
0,"","",decompression_query,LZ4,Telco-22-chrgd_rev_p1,104857600,19.328545,1.154550,f32,25600,8
0,11.583555,10.088711,decompression,GALP,Physicians-8-line_srvc_cnt,104857600,1.070176,2.537437,f32,25600,4
0,"","",decompression,GDeflate,city_temperature_f,209715200,33.028961,1.923680,f64,25600,8
0,"","",decompression_query,Deflate,Telco-83-offnet_rev_p1,104857600,112.906242,1.669316,f32,25600,3
0,"","",decompression,Snappy,stocks_uk,209715200,40.626209,3.226610,f64,25600,3
0,"","",decompression,Deflate,PanCreactomy1-8-line_srvc_cnt,104857600,109.363487,2.129359,f32,25600,2
0,"","",decompression_query,Deflate,CityMaxCapita-13-lpf,104857600,112.982559,1.434904,f32,25600,2
0,"","",decompression_query,LZ4,gov30,209715200,19.508768,7.175170,f64,25600,6
0,15.220820,109.786602,decompression_query,GALP,Telco-158-total_outgoing_min_p3,104857600,0.752128,1.529508,f32,25600,1
0,"","",decompression,LZ4,Telco-158-total_outgoing_min_p3,104857600,18.101248,1.230252,f32,25600,10
0,10.637852,0.109961,decompression_query,GALP,city_temperature_f,209715200,1.315584,5.827517,f64,25600,8
0,"","",decompression_query,Deflate,Telco-152-total_mins_p2,104857600,112.786369,1.286959,f32,25600,1
0,"","",decompression,Deflate,neon_bio_temp_c,209715200,213.667007,1.403820,f64,25600,1
0,"","",decompression,Snappy,Telco-156-total_outgoing_min_p1,104857600,12.716256,1.071965,f32,25600,5
0,"","",decompression_query,Bitcomp,Telco-111-rechrg_total_load_p2,104857600,2.846688,1.191894,f32,25600,7
0,"","",decompression_query,Deflate,Telco-159-total_outgoing_min_p4,104857600,111.244865,1.493537,f32,25600,9
0,"","",decompression_query,LZ4,phone_gyro_f64,209715200,38.871712,1.795464,f64,25600,10
0,17.441641,175.421562,decompression_query,GALP,Telco-152-total_mins_p2,104857600,0.866304,1.220479,f32,25600,8
0,"","",decompression_query,BitcompSparse,Telco-157-total_outgoing_min_p2,104857600,2.540544,1.106588,f32,25600,1
0,"","",decompression_query,Deflate,Telco-33-free_mins_p1,104857600,113.123360,1.645282,f32,25600,7
0,"","",decompression_query,BitcompSparse,Telco-153-total_mins_p3,104857600,2.530592,1.185029,f32,25600,6
0,"","",decompression,LZ4,Telco-153-total_mins_p3,104857600,19.625441,1.243671,f32,25600,9
0,"","",decompression,Snappy,arade4,209715200,74.566109,1.269186,f64,25600,9
0,"","",decompression_query,LZ4,Telco-96-onnet_mins_p4,104857600,24.222719,1.353446,f32,25600,1
0,30.000000,78.456680,decompression_query,GALP,bitcoin_transactions_f,209715200,1.355168,1.755090,f64,25600,6
0,10.987305,8.494844,decompression,GALP,CMSprovider-8-line_srvc_cnt,104857600,1.068736,2.680025,f32,25600,5
0,9.905156,28.033633,decompression_query,GALP,cms9,209715200,1.319200,5.148328,f64,25600,8
0,"","",decompression,Bitcomp,bitcoin_transactions_f,209715200,3.513536,0.999545,f64,25600,9
0,"","",decompression_query,Snappy,gov10,209715200,71.701218,1.699918,f64,25600,8
0,28.051914,143.778828,decompression,GALP,medicare1,209715200,3.388480,1.615322,f64,25600,9
0,"","",decompression_query,Deflate,Telco-93-onnet_mins_p1,104857600,114.236732,1.317742,f32,25600,8
0,"","",decompression_query,GDeflate,ssd_hdd_benchmarks_f,209715200,34.593727,1.934511,f64,25600,8
0,"","",decompression_query,BitcompSparse,nyc29,209715200,4.407680,0.998294,f64,25600,1
0,"","",decompression,LZ4,CityMaxCapita-13-lpf,104857600,27.120735,1.476534,f32,25600,4
0,"","",decompression,Snappy,gov40,209715200,11.177792,18.297423,f64,25600,6
0,"","",decompression_query,GDeflate,neon_pm10_dust,209715200,35.278881,1.459001,f64,25600,2
0,"","",decompression,BitcompSparse,ssd_hdd_benchmarks_f,209715200,3.049504,0.998294,f64,25600,5
0,"","",decompression,zstd,Telco-158-total_outgoing_min_p3,104857600,34.138271,1.638998,f32,25600,2
0,"","",decompression_query,Snappy,Telco-22-chrgd_rev_p1,104857600,22.732832,1.179464,f32,25600,4
0,"","",decompression_query,LZ4,neon_dew_point_temp,209715200,40.784737,1.944677,f64,25600,10
0,"","",decompression,LZ4,neon_pm10_dust,209715200,33.396961,3.402458,f64,25600,6
0,"","",decompression,Snappy,stocks_uk,209715200,40.425022,3.226610,f64,25600,9
0,"","",decompression,Snappy,neon_air_pressure,209715200,36.602142,2.665357,f64,25600,2
0,"","",decompression_query,Deflate,Telco-35-free_mins_p3,104857600,110.757568,2.230585,f32,25600,6
0,"","",decompression,Snappy,Telco-157-total_outgoing_min_p2,104857600,10.862624,1.160061,f32,25600,2
0,"","",decompression,Deflate,basel_wind_f,209715200,221.858627,1.082274,f64,25600,1
0,"","",decompression_query,zstd,Telco-152-total_mins_p2,104857600,36.960129,1.366566,f32,25600,3
0,"","",decompression,GDeflate,Telco-152-total_mins_p2,104857600,17.672640,1.282223,f32,25600,4
0,"","",decompression_query,Bitcomp,bitcoin_transactions_f,209715200,4.827488,0.999545,f64,25600,3
0,"","",decompression_query,GDeflate,gov30,209715200,32.855873,4.901134,f64,25600,10
0,"","",decompression,zstd,Telco-156-total_outgoing_min_p1,104857600,32.241440,1.286313,f32,25600,7
0,15.220820,109.786602,decompression_query,ALP,Telco-158-total_outgoing_min_p3,104857600,3.688448,1.566956,f32,25600,10
0,9.376016,170.870898,decompression_query,ALP,Telco-35-free_mins_p3,104857600,5.101760,1.834833,f32,25600,9
0,"","",decompression,LZ4,stocks_uk,209715200,36.198143,2.859986,f64,25600,1
0,13.020938,2.866719,decompression,ALP,Telco-110-rechrg_total_load_p1,104857600,1.477088,2.422407,f32,25600,10
0,16.187344,55.622461,decompression_query,ALP,Telco-83-offnet_rev_p1,104857600,2.746304,1.697673,f32,25600,4
0,"","",decompression,zstd,Telco-112-rechrg_total_load_p3,104857600,45.764130,3.161956,f32,25600,4
0,"","",decompression,Deflate,Telco-110-rechrg_total_load_p1,104857600,110.220161,2.020340,f32,25600,5
0,"","",decompression,Bitcomp,phone_gyro_f64,209715200,3.116768,0.998294,f64,25600,6
0,"","",decompression_query,GDeflate,neon_air_pressure,209715200,35.248928,1.150679,f64,25600,5
0,"","",decompression,GDeflate,neon_pm10_dust,209715200,33.659809,1.459001,f64,25600,10
0,"","",decompression_query,zstd,neon_air_pressure,209715200,65.517982,4.028308,f64,25600,8
0,"","",decompression,LZ4,ssd_hdd_benchmarks_f,209715200,36.548447,2.692778,f64,25600,10
0,"","",decompression_query,GDeflate,Telco-22-chrgd_rev_p1,104857600,17.749151,1.365514,f32,25600,3
0,"","",decompression_query,LZ4,Telco-22-chrgd_rev_p1,104857600,19.355167,1.154550,f32,25600,3
0,8.216953,4.124922,decompression_query,ALP,neon_pm10_dust,209715200,1.498816,7.420161,f64,25600,3
0,"","",decompression,zstd,Telco-95-onnet_mins_p3,104857600,41.055874,1.881736,f32,25600,3
0,"","",decompression,LZ4,arade4,209715200,40.548546,1.481674,f64,25600,5
0,"","",decompression,GDeflate,basel_temp_f,209715200,34.104992,1.067053,f64,25600,4
0,"","",decompression,Deflate,stocks_uk,209715200,211.910843,1.899543,f64,25600,10
0,"","",decompression_query,Snappy,Telco-153-total_mins_p3,104857600,21.524448,1.323073,f32,25600,8
0,"","",decompression,Bitcomp,neon_pm10_dust,209715200,7.861696,1.638005,f64,25600,7
0,"","",decompression,Snappy,Telco-112-rechrg_total_load_p3,104857600,31.439360,2.119036,f32,25600,9
0,"","",decompression_query,zstd,stocks_de,209715200,92.575935,5.919363,f64,25600,9
0,28.051914,143.778828,decompression,GALP,medicare1,209715200,3.342720,1.615322,f64,25600,2
0,15.237070,106.891445,decompression,ALP,Telco-153-total_mins_p3,104857600,4.076096,1.576177,f32,25600,4
0,"","",decompression_query,Bitcomp,phone_gyro_f64,209715200,4.426272,0.998294,f64,25600,8
0,"","",decompression_query,Thrust,cms9,209715200,5.558208,1.000000,f64,25600,1
0,"","",decompression_query,Deflate,Physicians-8-line_srvc_cnt,104857600,109.241119,2.124196,f32,25600,7
0,"","",decompression,GDeflate,Telco-171-total_outgoing_rev_p1,104857600,17.043072,1.183767,f32,25600,6
0,11.586641,10.081367,decompression,GALP,MedPaymenT1-8-line_srvc_cnt,104857600,1.070016,2.536885,f32,25600,7
